id,value,LeastPrivilegeRole,adminConsentDescription,adminConsentDisplayName
ebfcd32b-babb-40f4-a14b-42706e83bd28,AccessReview.Read.All,Security Reader,"Allows the app to read access reviews, reviewers, decisions and settings that the signed-in user has access to in the organization.",Read all access reviews that user can access
e4aa47b9-9a69-4109-82ed-36ec70d85ff1,AccessReview.ReadWrite.All,Identity Governance Administrator,"Allows the app to read, update, delete and perform actions on access reviews, reviewers, decisions and settings that the signed-in user has access to in the organization.",Manage all access reviews that user can access
5af8c3f5-baca-439a-97b0-ea58a435e269,AccessReview.ReadWrite.Membership,Compliance Administrator,"Allows the app to read, update, delete and perform actions on access reviews, reviewers, decisions and settings for group and app memberships that the signed-in user has access to in the organization.",Manage access reviews for group and app memberships
3361d15d-be43-4de6-b441-3c746d05163d,AdministrativeUnit.Read.All,Directory Readers,Allows the app to read administrative units and administrative unit membership on behalf of the signed-in user.,Read administrative units
7b8a2d34-6b3f-4542-a343-54651608ad81,AdministrativeUnit.ReadWrite.All,User Administrator,"Allows the app to create, read, update, and delete administrative units and manage administrative unit membership on behalf of the signed-in user.",Read and write administrative units
af2819c9-df71-4dd3-ade7-4d7c9dc653b7,Agreement.Read.All,Global Reader,Allows the app to read terms of use agreements on behalf of the signed-in user.,Read all terms of use agreements
ef4b5d93-3104-4664-9053-a5c49ab44218,Agreement.ReadWrite.All,Compliance Administrator,Allows the app to read and write terms of use agreements on behalf of the signed-in user.,Read and write all terms of use agreements
0b7643bb-5336-476f-80b5-18fbfbc91806,AgreementAcceptance.Read,Compliance Administrator,Allows the app to read terms of use acceptance statuses on behalf of the signed-in user.,Read user terms of use acceptance statuses
a66a5341-e66e-4897-9d52-c2df58c2bfb9,AgreementAcceptance.Read.All,Global Reader,Allows the app to read terms of use acceptance statuses on behalf of the signed-in user.,Read terms of use acceptance statuses that user can access
1b6ff35f-31df-4332-8571-d31ea5a4893f,APIConnectors.Read.All,Global Reader,"Allows the app to read the API connectors used in user authentication flows, on behalf of the signed-in user.",Read API connectors for authentication flows
c67b52c5-7c69-48b6-9d48-7b3af3ded914,APIConnectors.ReadWrite.All,External ID User Flow Administrator,"Allows the app to read, create and manage the API connectors used in user authentication flows, on behalf of the signed-in user.",Read and write API connectors for authentication flows
1ca167d5-1655-44a1-8adf-1414072e1ef9,AppCatalog.ReadWrite.All,Application Administrator,"Allows the app to create, read, update, and delete apps in the app catalogs.",Read and write to all app catalogs
af281d3a-030d-4122-886e-146fb30a0413,AppCertTrustConfiguration.Read.All,Security Reader,"Allows the app to read the trusted certificate authority configuration which can be used to restrict application certificates based on their issuing authority, on behalf of the signed-in user.",Read the trusted certificate authority configuration for applications
4bae2ed4-473e-4841-a493-9829cfd51d48,AppCertTrustConfiguration.ReadWrite.All,Security Administrator,"Allows the app to create, read, update and delete the trusted certificate authority configuration which can be used to restrict application certificates based on their issuing authority, on behalf of the signed-in user.",Read and write the trusted certificate authority configuration for applications
ffa91d43-2ad8-45cc-b592-09caddeb24bb,Application-RemoteDesktopConfig.ReadWrite.All,Application Administrator,"Allows the app to read and write other apps' remote desktop security configuration, on behalf of the signed-in user.",Read and write the remote desktop security configuration for apps
c79f8feb-a9db-4090-85f9-90d820caa0eb,Application.Read.All,Directory Readers,Allows the app to read applications and service principals on behalf of the signed-in user.,Read applications
bdfbf15f-ee85-4955-8675-146e8e5296b5,Application.ReadWrite.All,Cloud Application Administrator,"Allows the app to create, read, update and delete applications and service principals on behalf of the signed-in user. Does not allow management of consent grants.",Read and write all applications
84bccea3-f856-4a8a-967b-dbe0a3d53a64,AppRoleAssignment.ReadWrite.All,Cloud Application Administrator,"Allows the app to manage permission grants for application permissions to any API (including Microsoft Graph) and application assignments for any app, on behalf of the signed-in user.",Manage app permission grants and app role assignments
b0df437d-d341-4df0-aa3e-89ca81a1207f,ApprovalSolution.Read,Compliance Data Administrator,Allows the app to read approvals on behalf of the signed-in user.,Read approvals
6768d3af-4562-48ff-82d2-c5e19eb21b9c,ApprovalSolution.ReadWrite,Identity Governance Administrator,"Allows the app to provision, read, create, and respond to approvals on behalf of the signed-in user.","Read, create, and respond to approvals"
89d944f2-2011-44ad-830c-aa9bf5ef2319,ApprovalSolutionResponse.ReadWrite,Compliance Administrator,Allows the app to read and respond to approvals on behalf of the signed-in user.,Read and respond to approvals assigned to the current user
